dataset_id,model_id,model_variant,task_id,window_protocol,history_steps,forecast_steps,stride_steps,split_protocol,split_name,eval_protocol,metric_scope,lead_step,lead_minutes,window_count,prediction_count,start_timestamp,end_timestamp,mae_kw,rmse_kw,mae_pu,rmse_pu,coordinate_mode,node_count,local_input_channels,context_channels,static_feature_count,pairwise_feature_count,node_state_dim,hidden_state_dim,latent_state_dim,global_state_dim,message_dim,edge_hidden_dim,tau_embed_dim,dropout,grad_clip_norm,device,runtime_seconds,train_window_count,val_window_count,test_window_count,best_epoch,epochs_ran,best_val_rmse_pu,seed,batch_size,learning_rate,hist_loss_weight,aux_turbine_loss_weight,aux_site_loss_weight,consistency_loss_weight
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,34,340,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,293.2109789671804,393.91829965056513,0.14302974477743138,0.19215526875286534,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,35,350,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,296.1972740779252,396.6992837045197,0.14448647486878324,0.19351184522829507,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,rolling_origin_no_refit,horizon,36,360,47139,281661,2022-04-22 04:40:00,2023-03-15 18:50:00,297.4613710608675,399.2831465145584,0.1451031073596326,0.19477226653371155,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,overall,,,1310,281787,2022-04-22 04:40:00,2023-03-15 16:30:00,232.217105473283,327.7973207519263,0.11327663771264398,0.15990113193241826,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,1,10,1310,7823,2022-04-22 04:40:00,2023-03-15 16:30:00,103.04513384011888,155.8602506816732,0.05026591977667172,0.07602938938628871,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,2,20,1310,7830,2022-04-22 04:40:00,2023-03-15 16:30:00,129.10172912675606,193.16328827884794,0.06297645300893187,0.09422599449805652,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,3,30,1310,7828,2022-04-22 04:40:00,2023-03-15 16:30:00,145.22963690038964,215.5453091021295,0.07084372583310337,0.10514405428078225,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,4,40,1310,7826,2022-04-22 04:40:00,2023-03-15 16:30:00,157.04357570118836,228.22993984881523,0.07660662229183596,0.11133167774048187,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,5,50,1310,7829,2022-04-22 04:40:00,2023-03-15 16:30:00,167.20866729467366,241.67429356816052,0.08156520425930747,0.11788989770179767,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,6,60,1310,7829,2022-04-22 04:40:00,2023-03-15 16:30:00,174.3464622716822,250.74151902432538,0.08504705420550235,0.12231293732369664,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,7,70,1310,7829,2022-04-22 04:40:00,2023-03-15 16:30:00,185.37107129741986,265.41241042019516,0.0904249144264345,0.1294694711592912,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,8,80,1310,7827,2022-04-22 04:40:00,2023-03-15 16:30:00,191.02071155934584,272.6253567699715,0.09318083517850245,0.1329879770637072,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,9,90,1310,7826,2022-04-22 04:40:00,2023-03-15 16:30:00,197.69070546096344,282.5611404791322,0.09643448523295495,0.13783470441159745,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,10,100,1310,7826,2022-04-22 04:40:00,2023-03-15 16:30:00,202.07932193170203,290.21752595083973,0.09857528056752307,0.1415695228541898,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
kelmarsh,WORLD_MODEL,world_model_rollout_v1_farm_sync,next_6h_from_24h,dense_sliding,144,36,1,raw_chrono_70_10_20_strict_closed,val,non_overlap,horizon,11,110,1310,7832,2022-04-22 04:40:00,2023-03-15 16:30:00,208.33836144982124,296.79017042427444,0.1016284664512533,0.14477568836383037,latlon,6,37,25,6,7,128,96,32,64,64,64,16,0.1,1.0,cuda,3232.041582,325905,47139,94458,1,6,0.1613254164217731,42,256,0.001,0.3,0.1,0.1,0.05
